54.198.55.229 - - [19/Mar/2021:00:23:59 -0400] "GET //editor/asp/upload_json.asp HTTP/1.1" 404 1806 "-" "Mozilla/5.0 (compatible)"
54.198.55.229 - - [19/Mar/2021:00:24:04 -0400] "GET /wp-content/themes/purevision/style.css HTTP/1.1" 404 1806 "-" "Mozilla/5.0 (compatible)"
54.198.55.229 - - [19/Mar/2021:00:24:04 -0400] "GET /wp-content/plugins/wp-front-end-repository/js/uploadify/uploadify.css HTTP/1.1" 404 1806 "-" "Mozilla/5.0 (compatible)"
54.198.55.229 - - [19/Mar/2021:00:24:04 -0400] "GET / HTTP/1.1" 200 5867 "-" "Mozilla/5.0 (compatible)"
54.198.55.229 - - [19/Mar/2021:00:24:04 -0400] "GET /assets/modules/evogallery/js/uploadify/uploadify.css HTTP/1.1" 404 1806 "-" "Mozilla/5.0 (compatible)"
42.236.10.120 - - [19/Mar/2021:00:58:04 -0400] "GET / HTTP/1.1" 200 2049 "http://www.bapl.us/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.4.2661.102 Safari/537.36; 360Spider"
176.9.1.27 - - [19/Mar/2021:01:56:57 -0400] "GET / HTTP/1.1" 200 2049 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
5.34.180.192 - - [19/Mar/2021:02:33:03 -0400] "GET / HTTP/1.1" 200 5867 "https://pl.opisanie-kartin.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.40607)"
5.34.180.192 - - [19/Mar/2021:02:33:04 -0400] "GET / HTTP/1.1" 200 5867 "https://pl.opisanie-kartin.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.40607)"
5.34.180.192 - - [19/Mar/2021:02:33:04 -0400] "GET / HTTP/1.1" 200 5867 "https://pl.opisanie-kartin.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.40607)"
178.150.47.62 - - [19/Mar/2021:02:38:40 -0400] "GET / HTTP/1.1" 200 5867 "https://vids18.site/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322) Babya Discoverer  8.0:"
178.150.47.62 - - [19/Mar/2021:02:38:40 -0400] "GET / HTTP/1.1" 200 5867 "https://vids18.site/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322) Babya Discoverer  8.0:"
178.150.47.62 - - [19/Mar/2021:02:38:41 -0400] "GET / HTTP/1.1" 200 5867 "https://vids18.site/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322) Babya Discoverer  8.0:"
66.249.66.84 - - [19/Mar/2021:02:47:40 -0400] "GET /ads.txt HTTP/1.1" 404 868 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
